列標籤,2025/12/1,2025/12/2,2025/12/3,2025/12/4,2025/12/5,2025/12/6,2025/12/7,2025/12/8,2025/12/9,2025/12/10,2025/12/11,2025/12/12,2025/12/13,2025/12/14,2025/12/15,2025/12/16,2025/12/17,2025/12/18,2025/12/19,2025/12/20,2025/12/21,2025/12/22,2025/12/23,2025/12/24,2025/12/25,2025/12/26,2025/12/27,2025/12/28,2025/12/29,2025/12/30,2025/12/31,2026/1/1,2026/1/2,2026/1/3,2026/1/4,2026/1/5,(空白),總計,用量占比(100%)
005VAX07,16,20,16,20,11,3,19,24,5,7,24,24,19,17,5,12,14,5,19,12,10,9,20,22,14,9,13,24,13,17,8,22,15,15,16,23,0,542,0.046459599
005VEM01,65,130,134,189,233,75,85,219,202,166,103,258,145,46,96,124,212,145,101,70,129,59,242,232,69,213,278,44,179,252,207,67,137,242,18,149,0,5315,0.45559551
005VEN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0.002400127
005VEN11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.000171438
005VEN13,19,32,6,6,18,0,0,6,20,4,6,61,6,0,4,10,7,5,19,10,0,23,2,6,0,2,40,0,10,11,21,0,15,58,0,7,0,434,0.037201966
005VER08,0,0,40,84,56,98,0,0,0,2,42,0,42,0,0,0,0,0,0,143,57,2,29,0,2,112,2,60,0,30,4,42,0,70,0,0,0,917,0.078604155
005VES03,1,4,0,1,7,0,0,4,2,2,3,22,4,0,2,2,2,1,1,5,0,1,1,2,0,2,14,0,1,2,4,14,0,2,3,3,0,112,0.009600507
005VFE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,5,0.000428594
005VIA05,0,0,0,60,0,0,0,0,60,0,0,0,0,1,1,1,1,1,22,2,0,1,1,2,120,1,11,0,122,1,2,0,1,2,0,1,0,414,0.03548759
005VIC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005VIM03,2,15,0,8,23,2,4,124,4,8,8,8,17,0,9,9,10,10,11,21,0,11,15,30,0,21,40,0,19,79,55,1,18,36,0,17,0,635,0.054431449
005VIM04,3,15,3,10,30,4,0,10,13,16,15,15,26,8,15,18,20,12,16,35,0,17,15,34,0,12,26,2,5,5,16,0,7,16,0,5,0,444,0.038059155
005VIR03,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.001800095
005VIT13,107,135,29,98,275,61,36,94,119,134,162,161,307,18,103,133,154,164,186,301,10,110,158,332,13,115,257,11,104,158,327,27,105,236,20,94,0,4854,0.416079136
005VIT22,67,22,37,101,116,54,48,69,51,65,67,67,86,50,34,29,41,39,30,69,41,39,65,76,33,49,71,32,70,62,102,42,58,61,46,42,0,2031,0.174094916
005VIT25,8,29,9,15,70,6,4,32,30,22,21,23,40,2,13,22,20,19,15,35,3,19,18,43,3,18,51,1,14,15,44,0,19,42,2,20,0,747,0.064031956
005VOL05,1,2,2,30,6,0,0,0,1,2,2,2,4,0,2,28,4,11,2,6,12,2,2,4,0,10,0,2,2,2,0,0,0,10,0,0,0,151,0.012943541
005VOR03,29,54,77,35,84,74,22,15,14,26,12,31,109,35,111,51,28,15,45,24,2,11,7,37,16,16,115,1,31,36,26,7,58,98,0,24,0,1376,0.117949092
005VOR04,0,0,2,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,17,0.00145722
005VOR06,18,4,11,18,21,2,3,21,17,4,13,29,2,5,3,4,15,6,3,3,6,6,26,6,3,15,1,5,22,23,28,9,31,10,6,6,0,405,0.034716121
005VOR09,2,2,0,0,0,0,0,3,2,2,2,2,3,3,5,4,4,4,4,7,0,2,2,4,0,2,3,0,3,2,4,0,0,3,0,3,0,77,0.006600349
005VOT02,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0.009257632
005VYL01,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0.000600032
005VYL02,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.000685751
005VYT01,5,1,0,3,7,0,0,4,1,4,6,24,15,0,15,16,6,9,14,13,0,7,6,18,1,13,19,0,24,6,16,0,0,5,0,5,0,263,0.022544049
005VYZ01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.57188E-05
005WEC01,413,430,139,355,584,212,78,193,188,304,439,518,454,121,179,215,301,396,336,434,88,234,336,515,129,229,379,68,318,306,315,165,164,342,61,164,0,10102,0.865931485
005WEG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0.000771469
